query,page,position,impressions,clicks,ctr,ctr_target,potential_clicks_gain,priority
event ideas for pubs,,16.84,956,0,0.0,0.01,9.6,9.6
instagram services for pubs,,6.99,256,0,0.0,0.035,9.0,9.0
facebook services for pubs,,6.11,123,0,0.0,0.045,5.5,5.5
small pub entertainment ideas,,4.95,92,0,0.0,0.06,5.5,5.5
social media marketing for pubs,,11.99,380,1,0.0026,0.016,5.1,5.1
fix my pub,,5.72,109,1,0.0092,0.045,3.9,3.9
paid social for pubs,,11.23,207,0,0.0,0.018,3.7,3.7
ideas for pub events,,6.6,117,1,0.0085,0.035,3.1,3.1
content creation for pubs,,14.8,226,0,0.0,0.012,2.7,2.7
christmas pub ideas,,14.76,209,0,0.0,0.012,2.5,2.5
how to manage entertainment budgets for pubs,,8.82,97,0,0.0,0.025,2.4,2.4
pub event ideas,,15.26,620,5,0.0081,0.012,2.4,2.4
quiz night ideas,,7.69,207,4,0.0193,0.03,2.2,2.2
content creation services for pubs,,8.77,86,0,0.0,0.025,2.1,2.1
pub marketing agency,,19.64,304,0,0.0,0.007,2.1,2.1
profitable menu items,,18.95,243,0,0.0,0.008,1.9,1.9
summer pub,,9.07,76,0,0.0,0.025,1.9,1.9
pub entertainment ideas,,10.05,129,1,0.0078,0.022,1.8,1.8
instagram for pubs,,8.32,60,0,0.0,0.03,1.8,1.8
facebook for pubs,,9.12,69,0,0.0,0.025,1.7,1.7
marketing agency for pubs,,18.28,161,0,0.0,0.009,1.4,1.4
pubs and bars marketing solutions,,10.45,64,0,0.0,0.022,1.4,1.4
quiz night format details,,10.29,56,0,0.0,0.022,1.2,1.2
pub loyalty scheme,,15.65,110,0,0.0,0.011,1.2,1.2
pub co branding,,17.11,116,0,0.0,0.01,1.2,1.2
simple pub food menu,,4.61,18,0,0.0,0.06,1.1,1.1
premiumisation in your pub,,14.55,80,0,0.0,0.012,1.0,1.0
bingo in pubs,,11.06,51,0,0.0,0.018,0.9,0.9
pub social media,,10.46,41,0,0.0,0.022,0.9,0.9
most profitable bar food,,17.37,89,0,0.0,0.01,0.9,0.9
pub premium,,7.93,29,0,0.0,0.03,0.9,0.9
quiz event ideas,,12.48,52,0,0.0,0.016,0.8,0.8
brand partnership services for pubs,,11.33,46,0,0.0,0.018,0.8,0.8
pub bingo,,12.61,59,0,0.0,0.014,0.8,0.8
