query,page,position,impressions,clicks,ctr,ctr_target,potential_clicks_gain,priority
fix my pub,,5.31,29,0,0.0,0.06,1.7,1.7
event ideas for pubs,,18.63,156,0,0.0,0.008,1.2,1.2
pub loyalty scheme,,13.35,82,0,0.0,0.014,1.1,1.1
pub ideas to make money,,9.43,42,0,0.0,0.025,1.1,1.1
pub marketing,,19.97,144,0,0.0,0.007,1.0,1.0
bingo in pubs,,11.06,51,0,0.0,0.018,0.9,0.9
kids craft pop up events for pubs,,14.19,70,0,0.0,0.013,0.9,0.9
pub bingo,,12.61,59,0,0.0,0.014,0.8,0.8
how to increase midweek revenue for a pub or bar?,,8.24,25,0,0.0,0.03,0.8,0.8
pub quiz format,,12.45,44,0,0.0,0.016,0.7,0.7
quiz event ideas,,8.93,28,0,0.0,0.025,0.7,0.7
empty pub,,8.39,23,0,0.0,0.03,0.7,0.7
how to manage entertainment budgets for pubs,,5.93,15,0,0.0,0.045,0.7,0.7
facebook services for pubs,,7.86,22,0,0.0,0.03,0.7,0.7
premiumisation in your pub,,5.09,11,0,0.0,0.06,0.7,0.7
pub quiz round ideas,,8.18,17,0,0.0,0.03,0.5,0.5
quiz night ideas,,6.08,76,3,0.0395,0.045,0.4,0.4
instagram for pubs,,10.5,18,0,0.0,0.022,0.4,0.4
paid social for pubs,,10.73,22,0,0.0,0.018,0.4,0.4
christmas pub ideas,,15.47,32,0,0.0,0.012,0.4,0.4
pub quiz topics,,6.85,39,1,0.0256,0.035,0.4,0.4
instagram services for pubs,,12.5,22,0,0.0,0.016,0.4,0.4
quiz nights ideas,,5.0,5,0,0.0,0.06,0.3,0.3
wetherspoons competitors,,7.7,10,0,0.0,0.03,0.3,0.3
facebook for pubs,,11.2,15,0,0.0,0.018,0.3,0.3
small pub entertainment ideas,,9.67,12,0,0.0,0.022,0.3,0.3
digital marketing for pubs,,12.27,15,0,0.0,0.016,0.2,0.2
pub quiz subjects,,8.56,9,0,0.0,0.025,0.2,0.2
summer pub,,9.33,9,0,0.0,0.025,0.2,0.2
which brands fail to drive repeat midweek visits?,,5.8,5,0,0.0,0.045,0.2,0.2
pub menu ideas,,10.83,12,0,0.0,0.018,0.2,0.2
content creation for pubs,,13.62,16,0,0.0,0.013,0.2,0.2
instagram marketing for pubs,,14.0,16,0,0.0,0.013,0.2,0.2
pub entertainment ideas,,16.33,18,0,0.0,0.011,0.2,0.2
quiz night themes,,10.0,9,0,0.0,0.022,0.2,0.2
how does a pub quiz work,,5.0,3,0,0.0,0.06,0.2,0.2
pub events ideas,,18.32,19,0,0.0,0.009,0.2,0.2
marketing pub,,9.71,7,0,0.0,0.022,0.2,0.2
pub quiz themes,,18.88,17,0,0.0,0.008,0.1,0.1
instagram pub,,5.67,3,0,0.0,0.045,0.1,0.1
premium pub,,5.67,3,0,0.0,0.045,0.1,0.1
pub menu inspiration,,6.33,3,0,0.0,0.045,0.1,0.1
pub ideas,,17.31,13,0,0.0,0.01,0.1,0.1
bar staff incentive,,19.0,15,0,0.0,0.008,0.1,0.1
