export_id,pull_id,folder,scope,filter_type,filter_value,window_start,window_end,reporting_country,search_type,tabs_present,rows_queries,rows_pages,truncated_queries,truncated_pages,total_clicks,total_impressions,named_query_clicks,named_query_impressions,coverage_clicks,coverage_impressions,preliminary,source_hash
gsc-16m-all,gsc-16m-all,raw/gsc-16m-all,property,none,,2025-08-01,2026-09-06,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,1000,166,true,false,904,56750,70,22512,0.077434,0.396687,,048414d189f752175dfa35022a68c5862251967c543d856f06a3f32a843e0de8
gsc-3m-all,gsc-3m-all,raw/gsc-3m-all,property,none,,2026-06-07,2026-09-06,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,965,134,false,false,515,32439,47,12070,0.091262,0.372083,,0a9a7cd0a98bd04ac3bcca48ee9c426d95566d42f2b703309cab347580aab032
gsc-3m-q-cl_0004,gsc-3m-q-cl_0004,raw/gsc-3m-q-cl_0004,query-filter,query,"+(?i)((pub|bar|hospitality)\b.{0,25}\b(marketing|advertising|agency)|(marketing|advertising|instagram|facebook|content creation|paid social|social video)\b.{0,12}\bfor (pubs|bars))",2026-06-07,2026-09-06,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,29,26,false,false,0,1634,0,1634,,1,,20565611a652ed64e9e331727c3ce5138cb8fdd91e8a3cd18cbf4c1030cae001
gsc-3m-q-cl_0007,gsc-3m-q-cl_0007,raw/gsc-3m-q-cl_0007,query-filter,query,"+(?i)((pub )?quiz\b.{0,25}\b(night|round|format|question|answer|topic|scoring|prize|rule|idea)|picture round|quiz night)",2026-06-07,2026-09-06,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,71,4,false,false,15,687,15,687,1,1,,262f45b3ae7d0880a6e45ba8f42aec8486f41bcdf17981615bc18856bc46e837
gsc-3m-q-cl_0008,gsc-3m-q-cl_0008,raw/gsc-3m-q-cl_0008,query-filter,query,"+(?i)((pub|music|cash) bingo|bingo\b.{0,20}\b(pub|night|licence|equipment|idea))",2026-06-07,2026-09-06,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,12,2,false,false,6,1374,6,1374,1,1,,46fdd537a3002d6d81f4fdcfa298d1f0e9266ea2fb8de851b7c54722e47e9eea
gsc-3m-q-cl_0009,gsc-3m-q-cl_0009,raw/gsc-3m-q-cl_0009,query-filter,query,+(?i)((pub|bar|gastropub) (food|menu)|profitable (menu|food|bar food)|menu (idea|profit|margin|cost|engineering)|food (gp|margin|cost)),2026-06-07,2026-09-06,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,24,5,false,false,0,179,0,179,,1,,88bca6e69fd6631caaea9ae4a71491368e51d9f8c93d00473511c456668395f8
gsc-3m-q-cl_0010,gsc-3m-q-cl_0010,raw/gsc-3m-q-cl_0010,query-filter,query,"+(?i)((pub|bar)\b.{0,20}\b(event|entertainment)|event ideas for (pub|bar)|pop[- ]?up event)",2026-06-07,2026-09-06,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,28,26,false,false,4,1637,4,1637,1,1,,4db30613919684ee852febc52ca30638d373a1722764a1b89453afc029be6b2d
gsc-3m-q-cl_0012,gsc-3m-q-cl_0012,raw/gsc-3m-q-cl_0012,query-filter,query,+(?i)(fix my pub|struggling pub|pub turnaround|failing pub|quiet pub|empty pub|pub business support),2026-06-07,2026-09-06,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,3,5,false,false,0,148,0,148,,1,,793dd30bb47efaefae848ed5168f006e5be48896ed7ae7108c4934e27cf77720
gsc-3m-q-cl_0013,gsc-3m-q-cl_0013,raw/gsc-3m-q-cl_0013,query-filter,query,"+(?i)((pub|bar)\b.{0,20}\b(social media|instagram|facebook|tiktok)|social media (strategy|idea|post|content) for (pubs|bars))",2026-06-07,2026-09-06,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,3,6,false,false,0,27,0,27,,1,,0cc55765a0af770cbe59faa4e601bdc536e2a9ed69146aec43212e857180c970
gsc-3m-q-cl_0014,gsc-3m-q-cl_0014,raw/gsc-3m-q-cl_0014,query-filter,query,+(?i)(cellar|beer (quality|line)|draught|keg|cask|line clean),2026-06-07,2026-09-06,GB,web,Chart.csv|Countries.csv|Devices.csv|Filters.csv|Pages.csv|Queries.csv|Search appearance.csv,32,4,false,false,3,1040,3,1040,1,1,,52821b72d7e1335ba31e813e4b20b1fd52e5172d800f11e9e96d76a92bd0248d
