rank,id,action,category,priority_score,decision,approval_bucket,business_value,search_opportunity,current_performance_gap,confidence,effort,risk,owner,dependencies,source,notes,collected_at,band,expected_clicks_delta,expected_value_delta
1,SEO-107,"Add the 3 live money pages (social-media-marketing-for-pubs, paid-social-for-pubs, content-creation-for-pubs) to src/app/sitemap.ts",Technical,160.0,Do now,,4,4,4,5,1,1,Technical,dev,technical 20; copy 58,,2026-07-07T07:42:32,Do now,0.0,
2,SEO-114,"After link + redirect changes, URL-Inspect the priority commercial set and re-request indexing; confirm they exit not-indexed states in the August Coverage export",Technical,133.33,Do now,,5,4,5,4,2,1,Technical,GSC access; SEO-106/107/112 first,strategy 2,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Do now,,
3,SEO-106,Fix instagram + facebook services pages: page-level permanentRedirect no-ops on the static Vercel route so both serve 200 canonical->homepage while ranking pos 6-7. Move redirect to next.config.js -> /services/social-media-marketing-for-pubs (proven pattern) OR build real self-canonical pages,Technical,125.0,Do now,,5,4,5,5,2,2,Technical,dev; decide redirect vs rebuild,strategy 1; technical 14; content 25/27; copy 57/58; uxcro 71/76 (5-agent signal),,2026-07-07T07:42:32,Do now,0.0,
4,SEO-104,"Re-export GSC (12-mo, 28-day, Coverage) ~mid-August to measure the June fixes; re-run analyse-search-data with --queries-prev for decay",Analytics,120.0,Do now,,4,3,4,5,1,1,Analytics,GSC access (user),strategy 12; analytics 47,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Do now,,
5,SEO-101,Fire generate_lead (enquiry_submit) GA4 event on contact-form success + cta_click{method}; verify the GA4 config tag + measurement ID inside the GTM container,Analytics,93.75,Do now,,5,3,5,5,2,2,Analytics,GTM/GA4 access; dev dataLayer push on contact-form success,strategy F0; analytics 37/39/40; June SEO-001,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Do now,,
6,SEO-108,"Rework /fix-my-pub snippet: title 77->~49 chars recovery-first; meta 182->~154 chars price-transparent (30-day guarantee, from GBP375 plus VAT)",Content,72.0,Do now,,4,3,3,4,1,1,Content,CLAIMS.md; editorial-team,strategy 8; content 29; copy 56,,2026-07-07T07:42:32,Do now,0.0,
7,SEO-126,Complete the entity graph (June SEO-017): add Organization sameAs + Person sameAs + knowsAbout — AI-identity prerequisite; only sameAs today is the-anchor.pub,Authority,48.0,Do now,,3,2,4,4,1,1,Authority,dev; route schema-markup,authority 50; strategy sec7,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Do now,,
8,SEO-110,Deepen the social-media-marketing hub Instagram/Facebook sections to ~900-1000w (it now absorbs both channel rankings),Content,48.0,Schedule,,4,3,3,4,2,1,Content,editorial-team; SEO-106,copy 58; content 28,,2026-07-07T07:42:32,Do now,0.0,
9,SEO-112,"Rebalance /capabilities 1,035 inbound links: footer (content/data/footer.json) + 4 mis-anchored BlogPost.tsx CTAs (x106) -> repoint to named service/money pages",Technical,48.0,Do now,,4,3,4,4,2,2,Technical,dev,strategy 3; technical 15,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Do now,,
10,SEO-119,"Render FAQ Q&A visibly on the guide template (BlogPost.tsx) — currently FAQ exists only as retired FAQPage JSON-LD, invisible on-page; the most citable AEO asset is hidden",Content,48.0,Do now,,3,3,4,4,2,1,Technical,dev; route ai-seo,editor 62; content 34,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Do now,,
11,SEO-118,"Add dual-CTA (WhatsApp + enquiry form) to the PubServiceLandingPage template — the P1 reclaim targets are WhatsApp-only, so highest-intent traffic has no low-commitment enquiry route",UX,42.67,Do now,,4,2,4,4,2,1,UX,reuse PackageCTA; SEO-106,uxcro 70/73; strategy sec7; June SEO-006,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Do now,,
12,SEO-102,Add a lead notification (email/Slack/webhook) when a Supabase lead is written — enquiries currently land silently in /admin only,Analytics,41.67,Do now,,5,1,5,5,2,1,Technical,Resend/webhook; SUPABASE envs in prod,analytics 42,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Do now,,
13,SEO-103,Export the Supabase leads table as the interim enquiry baseline and run one live contact-form test watched in GA4 DebugView to prove the prod path,Analytics,40.0,Do now,,4,1,4,5,1,1,Analytics,Supabase + GA4 access (user),analytics 46/37,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Do now,,
14,SEO-111,Fix SERP-truncating metadata on 4 commercial pages (ways-to-work price in title; compete-with-pub-chains question-form <=50; quiet-midweek meta <=155; pub-marketing-agency H1 Hospitality->Pub),Content,36.0,Schedule,,3,2,3,4,1,1,Content,editorial-team,copy 60/56,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Do now,,
15,SEO-109,Expand paid-social (511w) + content-creation (536w) service pages to 650-750w and add one approved CLAIMS metric to the 3 channel JSON bodies,Content,36.0,Schedule,,3,3,3,4,2,1,Content,editorial-team; CLAIMS.md,content 28; copy 59/61,,2026-07-07T07:42:32,Do now,0.0,
16,SEO-122,"Position-improvement refresh on the 6 highest-impression pos 10-20 informational guides (event ideas for pubs 956 impr, christmas pub ideas 209, etc.)",Content,36.0,Schedule,,3,4,4,3,3,1,Content,editorial-team,content 32; strategy,,2026-07-07T07:42:32,Schedule,0.0,
17,SEO-105,Track phone (tel:) and email (mailto:) clicks as enquiry proxies and confirm SPA route-change page_view fires on App Router navigations,Analytics,32.0,Schedule,,3,2,4,4,2,1,Analytics,dev; GTM triggers,analytics 43/40,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Do now,,
18,SEO-115,301 the 404 /licensees-guide/pub-wages-labour-costs-uk -> -guide slug in next.config.js and fix the inbound link in how-much-profit-does-a-pub-make,Technical,30.0,Do now,,2,2,3,5,1,1,Technical,dev,strategy 4; technical 16; content,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Do now,,
19,SEO-124,Fix 12 missing-required schema fields: 9x WebSite missing name+url (guide/category template) + 3x LocalBusiness missing address (StructuredData.tsx:58-109),Technical,30.0,Schedule,,2,2,3,5,1,1,Technical,dev,technical 19; strategy 6,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Do now,,
20,SEO-113,"Resolve pub-marketing hub cannibalisation (5 competing hubs): escalate June SEO-029 Monitor->Schedule; pick /pub-marketing-agency as canonical, 301/de-optimise others AFTER August GSC confirms Google's preferred URL",Technical,27.43,Schedule,,4,4,4,3,4,3,Technical,user approval (indexation change); August GSC first,strategy 9; authority 55; June SEO-029,,2026-07-07T07:42:32,Schedule,0.0,
21,SEO-121,"Add quotable AEO answer-blocks + author/expertise (E-E-A-T) + visible freshness date to the 4 cluster-leader guides (pub-event-ideas, pop-up-events-for-pubs, quiz-night-ideas, quiz-night-101)",Content,27.0,Schedule,,3,3,3,3,2,1,Editorial,editorial-team + ai-seo; SEO-119,editor 63/64/65; strategy 10; content 34,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Schedule,,
22,SEO-137,Add a Christmas/winter seasonal hub object to seasonal-hubs.ts + refresh 2 Christmas guides — ship by early September for the seasonal window (christmas pub ideas pos 14.8/209 impr),Content,27.0,Schedule,,3,3,3,3,2,1,Content,editorial-team; seasonal timing,content 35; strategy,,2026-07-07T07:42:32,Schedule,0.0,
23,SEO-120,"Mount the orphaned NewsletterForm on the guide template (BlogPost.tsx) — delivery is built, captures the largest coldest audience as a second-chance conversion",UX,18.0,Schedule,,3,1,3,4,1,1,UX,dev; SEO-101 (event),uxcro 72; analytics 41; strategy 13,forecast skipped -> no demand source (impressions absent),2026-07-07T07:42:32,Schedule,,
