query,page,position,impressions,clicks,ctr,ctr_target,ctr_deficit,est_clicks_left_on_table
event ideas for pubs,,16.84,956,0,0.0,0.01,0.01,9.6
instagram services for pubs,,6.99,256,0,0.0,0.035,0.035,9.0
facebook services for pubs,,6.11,123,0,0.0,0.045,0.045,5.5
small pub entertainment ideas,,4.95,92,0,0.0,0.06,0.06,5.5
social media marketing for pubs,,11.99,380,1,0.0026,0.016,0.0134,5.1
fix my pub,,5.72,109,1,0.0092,0.045,0.0358,3.9
paid social for pubs,,11.23,207,0,0.0,0.018,0.018,3.7
ideas for pub events,,6.6,117,1,0.0085,0.035,0.0265,3.1
content creation for pubs,,14.8,226,0,0.0,0.012,0.012,2.7
christmas pub ideas,,14.76,209,0,0.0,0.012,0.012,2.5
how to manage entertainment budgets for pubs,,8.82,97,0,0.0,0.025,0.025,2.4
quiz night ideas,,7.69,207,4,0.0193,0.03,0.0107,2.2
content creation services for pubs,,8.77,86,0,0.0,0.025,0.025,2.1
summer pub,,9.07,76,0,0.0,0.025,0.025,1.9
pub entertainment ideas,,10.05,129,1,0.0078,0.022,0.0142,1.8
instagram for pubs,,8.32,60,0,0.0,0.03,0.03,1.8
facebook for pubs,,9.12,69,0,0.0,0.025,0.025,1.7
pubs and bars marketing solutions,,10.45,64,0,0.0,0.022,0.022,1.4
quiz night format details,,10.29,56,0,0.0,0.022,0.022,1.2
pub loyalty scheme,,15.65,110,0,0.0,0.011,0.011,1.2
pub co branding,,17.11,116,0,0.0,0.01,0.01,1.2
premiumisation in your pub,,14.55,80,0,0.0,0.012,0.012,1.0
bingo in pubs,,11.06,51,0,0.0,0.018,0.018,0.9
most profitable bar food,,17.37,89,0,0.0,0.01,0.01,0.9
quiz event ideas,,12.48,52,0,0.0,0.016,0.016,0.8
pub bingo,,12.61,59,0,0.0,0.014,0.014,0.8
pub quiz format,,15.58,55,0,0.0,0.011,0.011,0.6
