url,rank,tier,clicks,impressions,ctr,position,cumulative_pct
/licensees-guide/summer-pub-event-ideas,1,1-critical,159,10355,1.54%,16.82,17.73
/licensees-guide/quiz-night-ideas,2,1-critical,122,6438,1.89%,12.11,31.33
/licensees-guide/profitable-pub-food-menu-ideas,3,1-critical,104,5629,1.85%,7.79,42.92
/licensees-guide/cash-bingo-101,4,1-critical,54,2621,2.06%,9.18,48.94
/licensees-guide/quiz-night-101,5,1-critical,48,3615,1.33%,8.01,54.29
/licensees-guide/social-media-strategy-for-pubs,6,1-critical,43,4489,0.96%,12.57,59.09
/licensees-guide/summer-moments-simple-campaigns,7,1-critical,33,1818,1.82%,17.31,62.76
/licensees-guide/oktoberfest-pub-guide,8,1-critical,30,798,3.76%,6.88,66.11
/licensees-guide/pub-vat-accounting-guide,9,1-critical,27,1978,1.37%,7.51,69.12
/licensees-guide/christmas-pub-promotion-ideas,10,1-critical,27,1836,1.47%,11.81,72.13
/licensees-guide/why-is-my-pub-empty,11,1-critical,24,1183,2.03%,7.2,74.80
/licensees-guide/midweek-pub-offers-that-work,12,1-critical,23,1362,1.69%,7.72,77.37
/licensees-guide/content-marketing-ideas-pubs,13,1-critical,18,3130,0.58%,15.41,79.38
/licensees-guide/compete-with-wetherspoons,14,1-critical,16,1262,1.27%,8.97,81.16
/licensees-guide/autumn-pub-event-ideas,15,2-protected,16,441,3.63%,7.92,82.94
/licensees-guide/pub-refurbishment-on-budget,16,2-protected,14,1970,0.71%,15.61,84.50
/licensees-guide/macmillan-coffee-morning-pub-guide,17,2-protected,14,1952,0.72%,9.32,86.06
/licensees-guide/cellar-management-beer-quality-guide,18,2-protected,13,1882,0.69%,8.77,87.51
/licensees-guide/village-pub-dying-village-survival,19,2-protected,11,198,5.56%,7.77,88.74
/licensees-guide/instagram-marketing-for-pubs,20,2-protected,9,1082,0.83%,7.77,89.74
/licensees-guide/national-drinks-days-pub-guide,21,2-protected,7,2269,0.31%,8.97,90.52
/licensees-guide/brewery-tie-improve-your-deal,22,2-protected,7,597,1.17%,7.84,91.30
/licensees-guide/premium-pub-positioning,23,2-protected,5,1049,0.48%,19.91,91.86
/licensees-guide/double-drinks-profit-without-selling-more,24,2-protected,5,573,0.87%,6.71,92.42
/licensees-guide/pub-marketing-plan-2026-monthly-guide,25,2-protected,5,286,1.75%,6.98,92.98
/licensees-guide/pub-drinks-menu-design-guide,26,2-protected,5,170,2.94%,15.31,93.53
/licensees-guide/pub-event-template-profit-nights,27,2-protected,5,138,3.62%,12.96,94.09
/licensees-guide/pub-empty-tuesday-nights,28,2-protected,4,400,1%,5.05,94.54
/licensees-guide/food-allergies-gdpr-compliance,29,2-protected,4,361,1.11%,7.03,94.98
/licensees-guide/pub-accessibility-welcoming-guide,30,2-protected,4,171,2.34%,8.44,95.43
/licensees-guide/revenue-levers-struggling-pubs,31,3-review,4,44,9.09%,12.57,95.88
/licensees-guide/cask-ale-week-pub-guide,32,3-review,3,922,0.33%,7.92,96.21
/licensees-guide/pub-health-check-essential-fundamentals-licensee-success,33,3-review,3,743,0.4%,7.57,96.54
/licensees-guide/pub-licensing-premises-personal-licence-guide,34,3-review,3,405,0.74%,9.2,96.88
/licensees-guide/buying-a-pub-complete-guide,35,3-review,3,383,0.78%,7.54,97.21
/licensees-guide/pub-business-plan-template-guide,36,3-review,3,167,1.8%,9.25,97.55
/licensees-guide/christmas-pub-event-ideas,37,3-review,3,146,2.05%,10.62,97.88
/licensees-guide/pub-differentiation-strategies,38,3-review,3,87,3.45%,8.59,98.22
/licensees-guide/pub-toilet-refurbishment-budget-guide,39,3-review,3,70,4.29%,6.94,98.55
/licensees-guide/pub-health-safety-checklist,40,3-review,2,109,1.83%,6.26,98.77
/licensees-guide/pub-halloween-bonfire-night-events,41,3-review,2,5,40%,6.2,99.00
/licensees-guide/facebook-marketing-local-pubs,42,3-review,1,197,0.51%,7.26,99.11
/licensees-guide/how-to-attract-families-to-your-pub,43,3-review,1,183,0.55%,4.38,99.22
/licensees-guide/pub-recruitment-hiring-bar-staff,44,3-review,1,154,0.65%,8.39,99.33
/licensees-guide/black-friday-pub-ideas,45,3-review,1,106,0.94%,12.81,99.44
/licensees-guide/music-bingo-101,46,3-review,1,70,1.43%,6.53,99.55
/licensees-guide/turnaround-playbook-independent-bars,47,3-review,1,50,2%,5.96,99.67
/licensees-guide/boardgame-night-101,48,3-review,1,46,2.17%,7.89,99.78
/licensees-guide/does-your-pub-need-a-website,49,3-review,1,34,2.94%,5.91,99.89
/licensees-guide/pub-insurance-cover-guide,50,3-review,1,29,3.45%,29.48,100.00
/licensees-guide/autumn-rugby-nations-championship-pubs,51,3-review,0,302,0%,10.88,100.00
/licensees-guide/partnering-local-brands-share-marketing,52,3-review,0,290,0%,17.41,100.00
/licensees-guide/build-loyalty-scheme-fill-pub,53,3-review,0,240,0%,20.23,100.00
/licensees-guide/pop-up-events-for-pubs,54,3-review,0,156,0%,27.35,100.00
/licensees-guide/prs-ppl-music-licensing-pubs,55,3-review,0,125,0%,8.66,100.00
/licensees-guide/recession-proof-pub-strategies,56,3-review,0,102,0%,10.83,100.00
/licensees-guide/pub-event-ideas,57,3-review,0,100,0%,8.87,100.00
/licensees-guide/30-day-action-plan-stabilise-hospitality,58,3-review,0,82,0%,10.13,100.00
/licensees-guide/upselling-secrets-training-scripts,59,3-review,0,81,0%,11.9,100.00
