cluster_id,name,head_keyword_id,intent,target_page_id,page_type,local_flag,query_regex,page_regex,business_value,lifecycle,split_from,merged_into,mapping_version,last_reviewed
cl_0001,Website and application build,,commercial,pg_0002,service-hub,0,"(?i)(website|web app|web application|bespoke (application|software)|custom (application|software))","(?i)/solutions$",5,active,,,1,2026-09-08
cl_0002,Booking systems,,commercial,pg_0004,service,0,"(?i)(booking system|online booking|reservation system|table booking|booking software)","(?i)/solutions/booking-systems",5,active,,,1,2026-09-08
cl_0003,Hospitality websites,,commercial,pg_0003,service,0,"(?i)(pub|bar|restaurant|hospitality) website","(?i)/solutions/hospitality-websites",4,active,,,1,2026-09-08
cl_0004,Pub and hospitality marketing services,,commercial,pg_0006,sector,0,"(?i)((pub|bar|hospitality)\b.{0,25}\b(marketing|advertising|agency)|(marketing|advertising|instagram|facebook|content creation|paid social|social video)\b.{0,12}\bfor (pubs|bars))","(?i)/pub-marketing",4,active,,,1,2026-09-08
cl_0005,Fractional marketing leadership,,commercial,pg_0008,service,0,"(?i)(fractional|part[- ]time|interim) (cmo|marketing director|marketing lead)","(?i)/fractional-cmo",3,active,,,1,2026-09-08
cl_0006,Professional services sector,,commercial,pg_0007,sector,0,"(?i)(professional services|accountant|solicitor|consultancy)\b.{0,25}\b(website|marketing|application)","(?i)/sectors/professional-services",3,active,,,1,2026-09-08
cl_0007,Pub quiz mechanics,,informational,pg_0019,guide,0,"(?i)((pub )?quiz\b.{0,25}\b(night|round|format|question|answer|topic|scoring|prize|rule|idea)|picture round|quiz night)","(?i)/(licensees-guide|guides)/(quiz-night-101|quiz-night-ideas|restart-quiz-music-sport-roi)",3,active,,,1,2026-09-08
cl_0008,Pub bingo,,informational,pg_0030,guide,0,"(?i)((pub|music|cash) bingo|bingo\b.{0,20}\b(pub|night|licence|equipment|idea))","(?i)/(licensees-guide|guides)/(cash-bingo-101|music-bingo-101|pub-bingo)",3,active,,,1,2026-09-08
cl_0009,Pub food and menu profitability,,informational,pg_0021,guide,0,"(?i)((pub|bar|gastropub) (food|menu)|profitable (menu|food|bar food)|menu (idea|profit|margin|cost|engineering)|food (gp|margin|cost))","(?i)/(licensees-guide|guides)/profitable-pub-food-menu-ideas",3,active,,,1,2026-09-08
cl_0010,Pub events and entertainment,,informational,pg_0027,guide,0,"(?i)((pub|bar)\b.{0,20}\b(event|entertainment)|event ideas for (pub|bar)|pop[- ]?up event)","(?i)/(licensees-guide|guides)/(pub-event-ideas|how-to-run-successful-pub-events|summer-pub-event-ideas)",3,active,,,1,2026-09-08
cl_0011,Pub staffing and people,,informational,,guide,0,"(?i)((pub|bar|hospitality) (staff|team|rota|recruit|wage|training|handbook)|tronc|recruiting the right bar team)","(?i)/(licensees-guide|guides)/(pub-wages-labour-costs-uk|staff)",2,active,,,1,2026-09-08
cl_0012,Pub turnaround,,commercial,pg_0017,landing,0,"(?i)(fix my pub|struggling pub|pub turnaround|failing pub|quiet pub|empty pub|pub business support)","(?i)/why-revenue-is-falling",4,active,,,1,2026-09-08
cl_0013,Pub social media marketing,,informational,pg_0024,guide,0,"(?i)((pub|bar)\b.{0,20}\b(social media|instagram|facebook|tiktok)|social media (strategy|idea|post|content) for (pubs|bars))","(?i)/(licensees-guide|guides)/(social-media-strategy-for-pubs|instagram-marketing-for-pubs)",3,active,,,1,2026-09-08
cl_0014,Cellar and drinks operations,,informational,pg_0025,guide,0,"(?i)(cellar|beer (quality|line)|draught|keg|cask|line clean)","(?i)/(licensees-guide|guides)/cellar-management-beer-quality-guide",2,active,,,1,2026-09-08
cl_0015,Promotional calendar and drinks days,,informational,pg_0026,guide,0,"(?i)(national\b.{0,20}\bday|drinks day|awareness day|promotion calendar)","(?i)/(licensees-guide|guides)/national-drinks-days-pub-guide",2,active,,,1,2026-09-08
cl_0016,Pub refurbishment and property,,informational,pg_0028,guide,0,"(?i)(pub|bar)\b.{0,15}\b(refurb|refit|interior|maintenance|decor)","(?i)/(licensees-guide|guides)/(pub-refurbishment-on-budget|pub-toilet-refurbishment-budget-guide|low-cost-decor-refreshes-new-improved)",2,active,,,1,2026-09-08
cl_0017,Brand,,navigational,pg_0001,home,0,"(?i)orange ?jelly","(?i)^https://www[.]orangejelly[.]co[.]uk/$",5,active,,,1,2026-09-08
