rank,id,action,category,priority_score,decision,business_value,search_opportunity,current_performance_gap,confidence,effort,risk,owner,dependencies,source,notes,collected_at
1,SEO-007,Confirm /ways-to-work + 4 package pages indexed via GSC URL Inspection; repoint 4 stale /services internal links to /ways-to-work,Technical,128.0,Do now,4,4,4,4,1,1,Technical,GSC access; dev,technical C-4; web-developer REC-7,,2026-06-16T09:00:00
2,SEO-003,"Diagnose & fix indexation of the commercial layer (/pub-marketing-agency, /compete-with-pub-chains, /capabilities, regional /pub-marketing-*, /ways-to-work/* packages) via internal links + URL Inspection",Technical,125.0,Do now,5,5,5,4,2,2,Technical,Dev; Risk Register if nav change; GSC access,technical C-3/C-4; analytics finding 2 (Critical); ux-cro finding 8; opportunity-map D,,2026-06-16T09:00:00
3,SEO-001,Stand up GA4 + enquiry/CTA conversion tracking (enquiry_submit + cta_click{method}); import GSC; define enquiry funnel & baseline,Analytics,100.0,Do now,5,4,5,5,3,2,Analytics,GA4 property + GTM container config (GTM already loaded); dev dataLayer pushes,analytics/report.md F1; web-developer REC-20; ux-cro; technical CSP note,,2026-06-16T09:00:00
4,SEO-010,"Commercial body-copy rewrite + named-channel H2s (Facebook/Instagram) on /pub-marketing-agency, /services/{social,paid-social,content}, /fix-my-pub: answer block, 5 CLAIMS, packages-from price, anti-agency, single CTA",Content,100.0,Schedule,5,5,5,4,3,2,Content,Copywriting; CLAIMS.md; gated on SEO-003/SEO-007 indexation + SEO-006 CTA,copywriter findings 1 & 2 (Critical); content-strategy; analytics finding 3,,2026-06-16T09:00:00
5,SEO-004,Dual-H1 template fix: downgrade leading markdown '# ' to '## ' in preprocess.ts (fixes ~97 guides); keep hero as page H1,Technical,85.33,Do now,4,4,4,4,2,1,Technical,"Dev only; no TOC dependency (TableOfContents is dead code, verified)",technical C-1; web-developer REC-3 (no TOC dep),,2026-06-16T09:00:00
6,SEO-006,Add dual WhatsApp + 'Send an enquiry' (PackageCTA) block + 30-day guarantee to PubServiceLandingPage template (covers all service pages),UX,85.33,Do now,4,4,4,4,2,1,UX,Dev; reuse existing PackageCTA; SEO-003 indexation; SEO-002 form,ux-cro finding 2 + quick win 2; web-developer REC-6,,2026-06-16T09:00:00
7,SEO-005,"Cluster-keyed guide->service bridge: make getCategoryCTA() return {heading,body,href,anchor} per category; dual WhatsApp+enquiry; peer-to-peer; one CLAIM",Content,80.0,Do now,5,4,4,4,3,1,Content,Dev (BlogPost.tsx getCategoryCTA map); CLAIMS.md; SEO-002 for form; SEO-001 to measure,ux-cro finding 5; copywriter finding 3; content-strategy brief 2; technical internal-linking; opportunity-map A,,2026-06-16T09:00:00
8,SEO-002,Wire contact form to actually deliver leads (email via Resend) + remove PII console.log; fire enquiry_submit on success,UX,75.0,Do now,5,3,5,5,3,2,Technical,"resend dep + RESEND_API_KEY (Vercel); GDPR (email-only, no new PII store without approval); SEO-001 for event",ux-cro report finding 1 (Critical); web-developer REC-1; copywriter finding 8,,2026-06-16T09:00:00
9,SEO-012,Trim 5 commercial meta descriptions >160 chars + 2 titles >60 chars; add build-time meta-length lint,Content,67.5,Schedule,3,3,3,5,1,1,Content,Dev lint; CMS strings (seo-overrides.ts),copywriter findings 4 & 5; web-developer REC-11,,2026-06-16T09:00:00
10,SEO-008,"Internal-link + sitemap-freshen never-crawled seasonal guides (autumn-pub-event-ideas, cask-ale-week, pop-up-events, national-drinks-days) so Google fetches them",Technical,64.0,Schedule,3,4,4,4,2,1,Technical,Dev/Content,technical fix #5; opportunity-map D; analytics decline alert,,2026-06-16T09:00:00
11,SEO-011,"Position-improvement content pass on 6 high-impression guides (summer-events 15.1, content-marketing 15.6, social 12.6, christmas 11.6, pub-refurb 14.7, event-ideas query 16.8): depth + 40-60w answer blocks",Content,64.0,Schedule,4,4,4,4,3,1,Content,Content; depends on SEO-004 dual-H1 landing,opportunity-map C; analytics quick wins; copywriter finding 6,,2026-06-16T09:00:00
12,SEO-009,Add 'Services' to primary nav (navigation.json) with buyer-language label; pick ONE canonical commercial hub direction,UX,48.0,Schedule,4,3,4,4,2,2,UX,navigation.json; Content owns canonical-hub direction,ux-cro finding 6 + quick win 4; web-developer REC-10a,,2026-06-16T09:00:00
13,SEO-015,Correct Offer/priceSpecification price in content/data/services/*.json to CLAIMS-approved anchors (packages from £375+VAT); component already emits Offer,Technical,36.0,Schedule,3,3,3,4,1,2,Technical,Content figures (CLAIMS.md); Risk Register (live JSON-LD),technical fix #6; web-developer REC-12 (re-labelled data edit),,2026-06-16T09:00:00
