cluster_id,run_id,window,evidence_tier,tier_reasons,tags,deciding_tag,action,target_bin,curve_name,scenario_clicks_monthly,scenario_assumptions,demand_observation_id,demand_value_low,demand_value_high,demand_precision_mode,demand_pulled_on,business_value,search_opportunity,current_performance_gap,confidence,effort,risk,priority_score,score_version,change_type,evidence_refs
cl_0001,2026-09-08-01-setup,3m,B,named queries 1 (tier A minimum 5)|named-query impressions 2 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,LOW_OBSERVED_VISIBILITY|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),LOW_OBSERVED_VISIBILITY,investigate-visibility,3,awr-organic-blended,not estimable,not estimable,,,,,,5,1,5,3,1,1,37.5,2.1.0,metadata,gsc-3m-all
cl_0002,2026-09-08-01-setup,3m,B,named queries 2 (tier A minimum 5)|named-query impressions 5 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,LOW_OBSERVED_VISIBILITY|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),LOW_OBSERVED_VISIBILITY,investigate-visibility,3,awr-organic-blended,not estimable,not estimable,,,,,,5,1,5,3,1,1,37.5,2.1.0,metadata,gsc-3m-all
cl_0017,2026-09-08-01-setup,3m,B,named queries 1 (tier A minimum 5)|named-query impressions 1 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,LOW_OBSERVED_VISIBILITY|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),LOW_OBSERVED_VISIBILITY,investigate-visibility,8,awr-organic-blended,not estimable,not estimable,,,,,,5,1,5,3,1,1,37.5,2.1.0,metadata,gsc-3m-all
cl_0012,2026-09-08-01-setup,3m,B,named queries 3 (tier A minimum 5)|named-query impressions 148 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,STRIKING_DISTANCE_CANDIDATE|CTR_GAP_CANDIDATE|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),CTR_GAP_CANDIDATE,serp-check,3,awr-organic-blended,not estimable,not estimable,,,,,,4,2,3,3,1,1,36.0,2.1.0,metadata,gsc-3m-q-cl_0012
cl_0004,2026-09-08-01-setup,3m,B,named queries 28 (tier A minimum 5)|named-query impressions 1618 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,STRIKING_DISTANCE_CANDIDATE|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),STRIKING_DISTANCE_CANDIDATE,strengthen-page,8,awr-organic-blended,not estimable,not estimable,,,,,,4,2,4,3,2,1,32.0,2.1.0,on-page,gsc-3m-q-cl_0004|gsc-3m-all
cl_0005,2026-09-08-01-setup,3m,B,named queries 8 (tier A minimum 5)|named-query impressions 18 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,LOW_OBSERVED_VISIBILITY|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),LOW_OBSERVED_VISIBILITY,investigate-visibility,,awr-organic-blended,not estimable,not estimable,,,,,,4,1,5,3,1,1,30.0,2.1.0,metadata,gsc-3m-all
cl_0007,2026-09-08-01-setup,3m,B,named queries 71 (tier A minimum 5)|named-query impressions 687 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,STRIKING_DISTANCE_CANDIDATE|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),STRIKING_DISTANCE_CANDIDATE,strengthen-page,8,awr-organic-blended,not estimable,not estimable,,,,,,3,2,4,3,2,1,24.0,2.1.0,on-page,gsc-3m-q-cl_0007|gsc-3m-all
cl_0008,2026-09-08-01-setup,3m,B,named queries 12 (tier A minimum 5)|named-query impressions 1374 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,STRIKING_DISTANCE_CANDIDATE|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),STRIKING_DISTANCE_CANDIDATE,strengthen-page,8,awr-organic-blended,not estimable,not estimable,,,,,,3,2,4,3,2,1,24.0,2.1.0,on-page,gsc-3m-q-cl_0008
cl_0013,2026-09-08-01-setup,3m,B,named queries 2 (tier A minimum 5)|named-query impressions 11 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,LOW_OBSERVED_VISIBILITY|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),LOW_OBSERVED_VISIBILITY,investigate-visibility,3,awr-organic-blended,not estimable,not estimable,,,,,,3,1,5,3,1,1,22.5,2.1.0,metadata,gsc-3m-q-cl_0013|gsc-3m-all
cl_0014,2026-09-08-01-setup,3m,B,named queries 31 (tier A minimum 5)|named-query impressions 957 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,STRIKING_DISTANCE_CANDIDATE|CTR_GAP_CANDIDATE|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),CTR_GAP_CANDIDATE,serp-check,3,awr-organic-blended,not estimable,not estimable,,,,,,2,2,3,3,1,1,18.0,2.1.0,metadata,gsc-3m-q-cl_0014|gsc-3m-all
cl_0015,2026-09-08-01-setup,3m,B,named queries 46 (tier A minimum 5)|named-query impressions 402 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,STRIKING_DISTANCE_CANDIDATE|DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),STRIKING_DISTANCE_CANDIDATE,strengthen-page,8,awr-organic-blended,not estimable,not estimable,,,,,,2,2,4,3,2,1,16.0,2.1.0,on-page,gsc-3m-q-cl_0015|gsc-3m-all
cl_0009,2026-09-08-01-setup,3m,B,named queries 24 (tier A minimum 5)|named-query impressions 179 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),hold,hold,,awr-organic-blended,not estimable,not estimable,,,,,,3,2,1,3,1,1,9.0,2.1.0,,gsc-3m-q-cl_0009|gsc-3m-all
cl_0010,2026-09-08-01-setup,3m,B,named queries 28 (tier A minimum 5)|named-query impressions 1637 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),hold,hold,,awr-organic-blended,not estimable,not estimable,,,,,,3,2,1,3,1,1,9.0,2.1.0,,gsc-3m-q-cl_0010|gsc-3m-all
cl_0011,2026-09-08-01-setup,3m,B,named queries 1 (tier A minimum 5)|named-query impressions 16 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),hold,hold,8,awr-organic-blended,not estimable,not estimable,,,,,,2,1,1,3,1,1,3.0,2.1.0,,gsc-3m-all
cl_0016,2026-09-08-01-setup,3m,B,named queries 11 (tier A minimum 5)|named-query impressions 91 (tier A minimum 100)|curve bin valid|no demand observation in state returned|EVIDENCE_INSUFFICIENT (decay): no finalised run has a 3m window ending 2026-06-30 or 2025-09-30,DEMAND_UNKNOWN|EVIDENCE_INSUFFICIENT (cannibalisation),hold,hold,,awr-organic-blended,not estimable,not estimable,,,,,,2,1,1,3,1,1,3.0,2.1.0,,gsc-3m-q-cl_0016|gsc-3m-all
cl_0003,2026-09-08-01-setup,3m,D,no demand observation in state returned and no observed performance,LOW_OBSERVED_VISIBILITY|DEMAND_UNKNOWN,TIER_D,research,,awr-organic-blended,not estimable,not estimable,,,,,,4,,,,,,,2.1.0,,
cl_0006,2026-09-08-01-setup,3m,D,no demand observation in state returned and no observed performance,LOW_OBSERVED_VISIBILITY|DEMAND_UNKNOWN,TIER_D,research,,awr-organic-blended,not estimable,not estimable,,,,,,4,,,,,,,2.1.0,,
cl_0001,2026-09-08-01-setup,month,,reference window; diagnostics are computed on the 3m window,,,,,awr-organic-blended,,,,,,,,5,,,,,,,2.1.0,,
cl_0002,2026-09-08-01-setup,month,,reference window; diagnostics are computed on the 3m window,,,,,awr-organic-blended,,,,,,,,5,,,,,,,2.1.0,,
cl_0017,2026-09-08-01-setup,month,,reference window; diagnostics are computed on the 3m window,,,,,awr-organic-blended,,,,,,,,5,,,,,,,2.1.0,,
cl_0012,2026-09-08-01-setup,month,,reference window; diagnostics are computed on the 3m window,,,,,awr-organic-blended,,,,,,,,4,,,,,,,2.1.0,,
cl_0004,2026-09-08-01-setup,month,,reference window; diagnostics are computed on the 3m window,,,,,awr-organic-blended,,,,,,,,4,,,,,,,2.1.0,,
cl_0005,2026-09-08-01-setup,month,,reference window; diagnostics are computed on the 3m window,,,,,awr-organic-blended,,,,,,,,4,,,,,,,2.1.0,,
cl_0007,2026-09-08-01-setup,month,,reference window; diagnostics are computed on the 3m window,,,,,awr-organic-blended,,,,,,,,3,,,,,,,2.1.0,,
cl_0008,2026-09-08-01-setup,month,,reference window; diagnostics are computed on the 3m window,,,,,awr-organic-blended,,,,,,,,3,,,,,,,2.1.0,,
cl_0013,2026-09-08-01-setup,month,,reference window; diagnostics are computed on the 3m window,,,,,awr-organic-blended,,,,,,,,3,,,,,,,2.1.0,,
cl_0014,2026-09-08-01-setup,month,,reference window; diagnostics are computed on the 3m window,,,,,awr-organic-blended,,,,,,,,2,,,,,,,2.1.0,,
